['ineedawebsite199', 202537764, 'impression', '1', 240412309L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0542808259593423, False, 'time']
['ineedawebsite199', 202537764, 'impression', '14', 240393054L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0486794753140426, False, 'time']
['ineedawebsite199', 202537764, 'impression', '17', 240388753L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.00996120049780156, False, 'time']
['ineedawebsite199', 202537764, 'impression', '10', 240393248L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0718201031605759, False, 'time']
['ineedawebsite199', 202537764, 'impression', '13', 240393113L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.066766906826556, False, 'time']
['ineedawebsite199', 202537764, 'impression', '2', 240405705L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0943977961209761, False, 'time']
['ineedawebsite199', 202537764, 'impression', '6', 240399553L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0308813106294728, False, 'time']
['ineedawebsite199', 202537764, 'impression', '7', 240399176L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.130532426477524, False, 'time']
['ineedawebsite199', 202537764, 'impression', '12', 240393168L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0363205890741475, False, 'time']
['ineedawebsite199', 202537764, 'impression', '4', 240401449L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0390459166214774, False, 'time']
['ineedawebsite199', 202537764, 'impression', '9', 240398443L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0514557903724896, False, 'time']
['ineedawebsite199', 202537764, 'impression', '8', 240399149L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0535919406723632, False, 'time']
['ineedawebsite199', 202537764, 'impression', '3', 240401871L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0199643513081779, False, 'time']
['ineedawebsite199', 202537764, 'impression', '5', 240400367L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0915579630963169, False, 'time']
['ineedawebsite199', 202537764, 'impression', '11', 240393211L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0421790932074869, False, 'time']
['ineedawebsite199', 202537764, 'impression', '16', 240389835L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.025469014383421, False, 'time']
['ineedawebsite199', 202537764, 'impression', '20', 240387835L, datetime.datetime(2013, 5, 15, 20, 52, 29), 0.0, False, 'time']
['ineedawebsite199', 202537764, 'impression', '8', 240398443L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0514557903724896, False, 'best']
['ineedawebsite199', 202537764, 'impression', '14', 240392238L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0301820611407752, False, 'best']
['ineedawebsite199', 202537764, 'impression', '16', 240401871L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0199643513081779, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240399149L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0535919406723632, False, 'best']
['ineedawebsite199', 202537764, 'impression', '19', 240387835L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '15', 240389835L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '17', 240388753L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240393054L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240412309L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0542808259593423, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240405705L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0943977961209761, False, 'best']
['ineedawebsite199', 202537764, 'impression', '11', 240401449L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0390459166214774, False, 'best']
['ineedawebsite199', 202537764, 'impression', '13', 240399553L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0308813106294728, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240399176L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.130532426477524, False, 'best']
['ineedawebsite199', 202537764, 'impression', '12', 240393168L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240400367L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0915579630963169, False, 'best']
['ineedawebsite199', 202537764, 'impression', '10', 240393211L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393113L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393248L, datetime.datetime(2013, 5, 15, 20, 59, 17), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '10', 240393211L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0421790932074869, False, 'best']
['ineedawebsite199', 202537764, 'impression', '3', 240400367L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0915579630963169, False, 'best']
['ineedawebsite199', 202537764, 'impression', '11', 240401449L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0390459166214774, False, 'best']
['ineedawebsite199', 202537764, 'impression', '13', 240399553L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0308813106294728, False, 'best']
['ineedawebsite199', 202537764, 'impression', '12', 240393168L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0363205890741475, False, 'best']
['ineedawebsite199', 202537764, 'impression', '1', 240399176L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.130532426477524, False, 'best']
['ineedawebsite199', 202537764, 'impression', '2', 240405705L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0943977961209761, False, 'best']
['ineedawebsite199', 202537764, 'impression', '16', 240401871L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0199643513081779, False, 'best']
['ineedawebsite199', 202537764, 'impression', '7', 240399149L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0535919406723632, False, 'best']
['ineedawebsite199', 202537764, 'impression', '8', 240398443L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0514557903724896, False, 'best']
['ineedawebsite199', 202537764, 'impression', '19', 240387835L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0, False, 'best']
['ineedawebsite199', 202537764, 'impression', '15', 240389835L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.025469014383421, False, 'best']
['ineedawebsite199', 202537764, 'impression', '4', 240393248L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0718201031605759, False, 'best']
['ineedawebsite199', 202537764, 'impression', '5', 240393113L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.066766906826556, False, 'best']
['ineedawebsite199', 202537764, 'impression', '6', 240412309L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0542808259593423, False, 'best']
['ineedawebsite199', 202537764, 'impression', '9', 240393054L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0486794753140426, False, 'best']
['ineedawebsite199', 202537764, 'impression', '17', 240388753L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.00996120049780156, False, 'best']
['ineedawebsite199', 202537764, 'impression', '14', 240392238L, datetime.datetime(2013, 5, 15, 21, 3, 6), 0.0301820611407752, False, 'best']

